Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Label
1/3/2017,2017,1,3,Tuesday,1,2017-01,87.34,87.76,85.98,87.23,20550700,75.65,0,75.65,75.65,Undefined
1/4/2017,2017,1,4,Wednesday,1,2017-01,86.96,87.18,86.4,86.91,15266600,75.79,0.001844727,75.72,75.72,Undefined
1/5/2017,2017,1,5,Thursday,1,2017-01,86.81,87.11,85.26,86.11,14300800,75.09,-0.00920514,75.51,75.51,Undefined
1/6/2017,2017,1,6,Friday,1,2017-01,86.39,86.62,85.94,86.12,12893300,75.1,0.000116229,75.4075,75.4075,Undefined
1/9/2017,2017,1,9,Monday,2,2017-02,85.73,86.77,85.52,86.18,12806600,75.15,0.000696681,75.356,75.356,Undefined
1/10/2017,2017,1,10,Tuesday,2,2017-02,86.07,86.9,85.72,86.43,13989000,75.37,0.002900916,75.35833333,75.35833333,Undefined
1/11/2017,2017,1,11,Wednesday,2,2017-02,86.43,87.08,85.91,87.08,14713100,75.94,0.007520606,75.44142857,75.44142857,Undefined
1/12/2017,2017,1,12,Thursday,2,2017-02,86.76,87.27,86.02,86.24,21337400,75.21,-0.009646604,75.4125,75.4125,Undefined
1/13/2017,2017,1,13,Friday,2,2017-02,87.11,88.17,86.1,86.7,28296000,75.61,0.005334193,75.43444444,75.43444444,Undefined
1/17/2017,2017,1,17,Tuesday,3,2017-03,84.93,85.22,83.28,83.55,30024600,72.86,-0.036332359,75.177,75.177,Undefined
1/18/2017,2017,1,18,Wednesday,3,2017-03,83.63,84.23,83.03,83.94,21270100,73.2,0.004667928,74.99727273,74.99727273,Undefined
1/19/2017,2017,1,19,Thursday,3,2017-03,84.06,84.67,83.12,83.3,16555600,72.64,-0.007624257,74.80083333,74.80083333,Undefined
1/20/2017,2017,1,20,Friday,3,2017-03,83.43,83.83,83.29,83.67,18436800,72.97,0.004441638,74.66,74.66,Undefined
1/23/2017,2017,1,23,Monday,4,2017-04,83.3,84,83.21,83.71,12179200,73,0.000478263,74.54142857,74.54142857,Undefined
1/24/2017,2017,1,24,Tuesday,4,2017-04,83.92,85,83.56,84.72,15175300,73.88,0.01206519,74.415,74.49733333,Undefined
1/25/2017,2017,1,25,Wednesday,4,2017-04,85.84,86.17,85.17,86.03,17551000,75.02,0.015462633,74.36,74.53,Undefined
1/26/2017,2017,1,26,Thursday,4,2017-04,85.95,86.95,85.95,86.75,15962800,75.65,0.008369117,74.4,74.59588235,Undefined
1/27/2017,2017,1,27,Friday,4,2017-04,86.66,86.98,86.27,86.93,12535400,75.81,0.002075166,74.45071429,74.66333333,Undefined
1/30/2017,2017,1,30,Monday,5,2017-05,86.19,86.5,85.32,86.03,13661900,75.02,-0.010353338,74.44142857,74.68210526,Undefined
1/31/2017,2017,1,31,Tuesday,5,2017-05,85.6,86.15,84.09,84.63,15655100,73.8,-0.016273295,74.32928571,74.638,Undefined
2/1/2017,2017,2,1,Wednesday,5,2017-05,85.54,86.1,84.68,84.95,15430900,74.08,0.003781047,74.19642857,74.61142857,Undefined
2/2/2017,2017,2,2,Thursday,5,2017-05,84.34,84.91,84.16,84.59,11081400,73.77,-0.004237759,74.09357143,74.57318182,Undefined
2/3/2017,2017,2,3,Friday,5,2017-05,86.19,87.31,85.87,87.18,17885200,76.03,0.030618361,74.12357143,74.63652174,Undefined
2/6/2017,2017,2,6,Monday,6,2017-06,86.79,87.45,86.61,86.77,11828400,75.67,-0.004702868,74.32428571,74.67958333,Undefined
2/7/2017,2017,2,7,Tuesday,6,2017-06,87.14,87.4,86.48,86.72,9392800,75.63,-0.000576521,74.49785714,74.7176,Undefined
2/8/2017,2017,2,8,Wednesday,6,2017-06,86.18,86.31,85.37,85.96,13970900,74.96,-0.008763668,74.66357143,74.72692308,Undefined
2/9/2017,2017,2,9,Thursday,6,2017-06,85.96,87.33,85.96,87.2,13749100,76.04,0.014425477,74.88285714,74.77555556,Undefined
2/10/2017,2017,2,10,Friday,6,2017-06,87.48,87.48,86.89,87,10992500,75.87,-0.002293607,75.08785714,74.81464286,Undefined
2/13/2017,2017,2,13,Monday,7,2017-07,87.44,88.74,87.43,88.15,18739100,76.87,0.013218381,75.30142857,74.88551724,Undefined
2/14/2017,2017,2,14,Tuesday,7,2017-07,88.3,89.7,88.11,89.56,17932100,78.1,0.01599546,75.52142857,74.99266667,Undefined
2/15/2017,2017,2,15,Wednesday,7,2017-07,90.08,90.87,89.35,90.59,17381800,79,0.011500702,75.76071429,75.12193548,Undefined
2/16/2017,2017,2,16,Thursday,7,2017-07,90.4,91.04,89.77,90.53,17672700,78.95,-0.000662401,75.985,75.2415625,Undefined
2/17/2017,2017,2,17,Friday,7,2017-07,89.82,90.47,89.69,90.23,15776600,78.69,-0.003313619,76.24714286,75.34606061,Undefined
2/21/2017,2017,2,21,Tuesday,8,2017-08,90.51,91.15,90.46,91.01,14068300,79.37,0.008644207,76.645,75.46441176,Undefined
2/22/2017,2017,2,22,Wednesday,8,2017-08,90.52,91.3,90.42,91.06,11839000,79.41,0.000549565,77.02571429,75.57714286,Undefined
2/23/2017,2017,2,23,Thursday,8,2017-08,91.18,91.34,90.52,91.13,11067000,79.47,0.000768796,77.43285714,75.68527778,Undefined
2/24/2017,2017,2,24,Friday,8,2017-08,90.18,90.54,89.73,90.33,15062300,78.77,-0.008778778,77.62857143,75.76864865,Undefined
2/27/2017,2017,2,27,Monday,9,2017-09,90.32,90.73,90.02,90.43,12361000,78.86,0.001106921,77.85642857,75.85,Undefined
2/28/2017,2017,2,28,Tuesday,9,2017-09,89.85,90.82,89.59,90.62,15183500,79.03,0.002101588,78.09928571,75.93153846,Undefined
3/1/2017,2017,3,1,Wednesday,9,2017-09,92.79,93.98,92.61,93.6,24451400,81.63,0.03288431,78.57571429,76.074,Undefined
3/2/2017,2017,3,2,Thursday,9,2017-09,93.87,93.92,92.03,92.14,16862500,80.35,-0.015598364,78.88357143,76.17829268,Undefined
3/3/2017,2017,3,3,Friday,9,2017-09,92.14,93.11,92.14,92.8,12817500,80.93,0.007163075,79.245,76.29142857,Undefined
3/6/2017,2017,3,6,Monday,10,2017-10,92.25,92.32,91.1,91.92,15059200,80.16,-0.009482746,79.48,76.38139535,Undefined
3/7/2017,2017,3,7,Tuesday,10,2017-10,91.64,92.09,91.21,91.41,11156800,79.72,-0.00554851,79.59571429,76.45727273,Undefined
3/8/2017,2017,3,8,Wednesday,10,2017-10,92.68,92.85,91.1,91.21,17378400,79.54,-0.002188068,79.63428571,76.52577778,Undefined
3/9/2017,2017,3,9,Thursday,10,2017-10,91.6,92.14,91.15,91.57,13726200,79.86,0.003947101,79.69928571,76.59826087,Undefined
3/10/2017,2017,3,10,Friday,10,2017-10,91.95,92,90.53,91.28,13729900,79.6,-0.003166782,79.76428571,76.66212766,Undefined
3/13/2017,2017,3,13,Monday,11,2017-11,91.31,91.78,90.93,91.36,10004300,79.67,0.000876205,79.78571429,76.72479167,Undefined
3/14/2017,2017,3,14,Tuesday,11,2017-11,91.02,91.65,90.77,91.51,10237700,79.8,0.001641805,79.81357143,76.78755102,Undefined
3/15/2017,2017,3,15,Wednesday,11,2017-11,91.8,92.55,91.13,91.73,16601400,79.99,0.002404321,79.85071429,76.8516,Undefined
3/16/2017,2017,3,16,Thursday,11,2017-11,92.03,92.81,91.57,91.64,14492000,79.92,-0.00098111,79.93285714,76.937,Undefined
3/17/2017,2017,3,17,Friday,11,2017-11,91.83,92.04,90.65,90.68,21734700,79.08,-0.010475925,79.94857143,77.0028,Undefined
3/20/2017,2017,3,20,Monday,12,2017-12,90.27,91.17,89.79,90.03,14623600,78.51,-0.007167937,79.91142857,77.0712,Undefined
3/21/2017,2017,3,21,Tuesday,12,2017-12,90.36,90.64,87.06,87.39,33089200,76.21,-0.029323519,79.52428571,77.0934,Undefined
3/22/2017,2017,3,22,Wednesday,12,2017-12,86.89,88.07,86.01,87.53,21741000,76.33,0.001602064,79.23714286,77.117,Undefined
3/23/2017,2017,3,23,Thursday,12,2017-12,87.21,88.5,87.09,87.39,16090100,76.21,-0.001599502,78.9,77.1338,Undefined
3/24/2017,2017,3,24,Friday,12,2017-12,87.79,88.09,86.77,87.29,16093200,76.12,-0.00114436,78.61142857,77.1374,Undefined
3/27/2017,2017,3,27,Monday,13,2017-13,85.53,87.4,85.23,87.24,16689300,76.08,-0.000572785,78.35142857,77.1548,Undefined
3/28/2017,2017,3,28,Tuesday,13,2017-13,87.02,89.02,86.98,88.6,16264400,77.27,0.015589395,78.18928571,77.188,Undefined
3/29/2017,2017,3,29,Wednesday,13,2017-13,88.6,88.82,88.08,88.27,10207600,76.98,-0.003724883,77.98357143,77.2704,Undefined
3/30/2017,2017,3,30,Thursday,13,2017-13,88.2,89.46,88.12,89.03,11631000,77.64,0.008610075,77.84357143,77.3592,Undefined
3/31/2017,2017,3,31,Friday,13,2017-13,88.71,88.74,87.75,87.84,16987600,76.6,-0.013366256,77.62428571,77.4384,Undefined
4/3/2017,2017,4,3,Monday,14,2017-14,87.99,88.17,86.6,87.52,19831800,76.32,-0.003643073,77.37571429,77.5054,Undefined
4/4/2017,2017,4,4,Tuesday,14,2017-14,86.89,87.67,86.72,87.31,14280800,76.58,0.003332418,77.13214286,77.577,Undefined
4/5/2017,2017,4,5,Wednesday,14,2017-14,88.42,88.54,86.13,86.19,17635500,75.6,-0.012827899,76.82357143,77.6114,Undefined
4/6/2017,2017,4,6,Thursday,14,2017-14,85.98,86.91,85.25,86.48,14379600,75.85,0.003364711,76.59285714,77.628,Undefined
4/7/2017,2017,4,7,Friday,14,2017-14,85.93,86.81,85.71,86.18,13097100,75.59,-0.0034688,76.38428571,77.6268,Undefined
4/10/2017,2017,4,10,Monday,15,2017-15,86.08,86.69,85.4,85.88,15081600,75.32,-0.003481379,76.32071429,77.617,Undefined
4/11/2017,2017,4,11,Tuesday,15,2017-15,85.54,85.79,84.8,85.73,14690500,75.19,-0.001746213,76.23928571,77.6204,Undefined
4/12/2017,2017,4,12,Wednesday,15,2017-15,85.93,85.95,85.03,85.4,14730600,74.9,-0.003849607,76.14571429,77.6424,Undefined
4/13/2017,2017,4,13,Thursday,15,2017-15,85.5,86.99,84.4,84.4,30529800,74.03,-0.011709366,75.99642857,77.6414,Undefined
4/17/2017,2017,4,17,Monday,16,2017-16,84.44,86.08,84.37,85.86,19071700,75.31,0.017298362,75.94142857,77.6722,Undefined
4/18/2017,2017,4,18,Tuesday,16,2017-16,85.36,85.63,84.74,85.16,14127000,74.69,-0.008152582,75.75714286,77.6454,Undefined
4/19/2017,2017,4,19,Wednesday,16,2017-16,85.5,85.92,84.36,84.46,17588500,74.08,-0.008219899,75.55,77.6136,Undefined
4/20/2017,2017,4,20,Thursday,16,2017-16,84.98,85.78,84.55,85.55,15635800,75.03,0.012905644,75.36357143,77.6016,Undefined
4/21/2017,2017,4,21,Friday,16,2017-16,85.5,85.68,84.51,84.52,19820600,74.13,-0.012040031,75.18714286,77.585,Undefined
4/24/2017,2017,4,24,Monday,17,2017-17,86.55,88.05,86.42,87.5,25468300,76.74,0.035257953,75.21714286,77.599,Undefined
4/25/2017,2017,4,25,Tuesday,17,2017-17,88.55,89.13,88.26,88.26,18253800,77.41,0.008685929,75.27642857,77.6298,Undefined
4/26/2017,2017,4,26,Wednesday,17,2017-17,88.35,89.05,88.14,88.43,12832200,77.56,0.001925806,75.41642857,77.6436,Undefined
4/27/2017,2017,4,27,Thursday,17,2017-17,88.37,88.37,87.01,87.61,13329000,76.84,-0.00927263,75.48714286,77.6184,Undefined
4/28/2017,2017,4,28,Friday,17,2017-17,87.6,87.85,86.95,87,10755600,76.31,-0.006962596,75.53857143,77.5646,Undefined
5/1/2017,2017,5,1,Monday,18,2017-18,87.36,87.74,86.56,87.06,15712300,76.36,0.000689593,75.61285714,77.5128,Undefined
5/2/2017,2017,5,2,Tuesday,18,2017-18,86.71,86.88,86.02,86.5,14414200,75.87,-0.006432466,75.66142857,77.4564,Undefined
5/3/2017,2017,5,3,Wednesday,18,2017-18,86.06,87.1,86.02,87,11540500,76.31,0.005780532,75.76214286,77.3952,Undefined
5/4/2017,2017,5,4,Thursday,18,2017-18,87.69,87.73,86.57,87.1,11540100,76.39,0.001149122,75.93071429,77.3348,Undefined
5/5/2017,2017,5,5,Friday,18,2017-18,87.25,87.34,86.42,87,9436000,76.31,-0.001147803,76.00214286,77.2716,Undefined
5/8/2017,2017,5,8,Monday,19,2017-19,87.04,87.32,86.65,87.1,8162200,76.39,0.001149122,76.12357143,77.224,Undefined
5/9/2017,2017,5,9,Tuesday,19,2017-19,87.26,87.84,86.5,86.75,10273900,76.09,-0.004018359,76.26714286,77.1686,Undefined
5/10/2017,2017,5,10,Wednesday,19,2017-19,86.53,87.48,86.47,87.43,8334900,76.68,0.007838716,76.385,77.1216,Undefined
5/11/2017,2017,5,11,Thursday,19,2017-19,87.09,87.48,86.35,87.16,10907400,76.45,-0.003087957,76.55071429,77.018,Undefined
